,Player's List,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,Team
331,Karun Nair,5000000,BATSMAN,,,RR,Unsold
332,Pathum Nissaanka,5000000,BATSMAN,,,,Unsold
333,Jason Roy,1500000,BATSMAN,,,GT,Unsold
334,Gurkeerat Singh,5000000,BATSMAN,,,GT,Unsold
335,Harry Tector,5000000,BATSMAN,,,,Unsold
336,Najibullah Zadran,5000000,BATSMAN,,,,Unsold
337,Sean Abbott,1500000,ALL-ROUNDER,,,SRH,Unsold
338,Qais Ahmad,5000000,ALL-ROUNDER,,,,Unsold
339,Charith Asalanka,5000000,ALL-ROUNDER,,,,Unsold
340,Michael Bracewell,10000000,ALL-ROUNDER,,,,Unsold
341,Dominic Drakes,5000000,ALL-ROUNDER,,,GT,Unsold
342,George Garton,5000000,ALL-ROUNDER,,,,Unsold
343,Chamika Karunaratne,5000000,ALL-ROUNDER,,,KKR,Unsold
344,Jamie Overton,20000000,ALL-ROUNDER,,,,Unsold
345,Sandeep Warrier,5000000,ALL-ROUNDER,,,,Unsold
346,Ben Dwarshuis,5000000,BOWLER,,,,Unsold
347,Richard Gleeson,5000000,BOWLER,,,,Unsold
348,Lahiru Kumara,5000000,BOWLER,,,,Unsold
349,Dilshan Madushanka,5000000,BOWLER,,,,Unsold
350,Billy Stanlake,5000000,BOWLER,,,,Unsold
351,Andrew Tye,10000000,BOWLER,,,LSG,Unsold
352,Luke Wood,10000000,BOWLER,,,,Unsold
353,Priyansh Arya,2000000,BATSMAN,,,,Unsold
354,Matthew Breetzke,2000000,BATSMAN,,,,Unsold
355,Shivam Chauhan,2000000,BATSMAN,,,,Unsold
356,Rahul Gahlaut,2000000,BATSMAN,,,,Unsold
357,Sudip Gharami,2000000,BATSMAN,,,,Unsold
358,C. Hari Nishaanth,2000000,BATSMAN,,,CSK,Unsold
359,Amandeep Khare,2000000,BATSMAN,,,,Unsold
360,Bhanu Pania,2000000,BATSMAN,,,,Unsold
361,Ekant Sen,2000000,BATSMAN,,,,Unsold
362,Akash Singh,2000000,BATSMAN,,,,Unsold
363,Himanshu Bisht,2000000,ALL-ROUNDER,,,,Unsold
364,Mickil Jaiswal,2000000,ALL-ROUNDER,,,,Unsold
365,G.Aniketh Reddy,2000000,ALL-ROUNDER,,,,Unsold
366,Atit Sheth,2000000,ALL-ROUNDER,,,,Unsold
367,M. Siddharth,2000000,ALL-ROUNDER,,,,Unsold
368,Tanay Thyagarajann,2000000,ALL-ROUNDER,,,,Unsold
369,Sumeet Verma,2000000,ALL-ROUNDER,,,,Unsold
370,Sanjay Yadav,2000000,ALL-ROUNDER,,,MI,Unsold
371,Ajitesh Guruswamy,2000000,WICKETKEEPER,,,,Unsold
372,Yash Kothari,2000000,WICKETKEEPER,,,,Unsold
373,Suresh Kumar,2000000,WICKETKEEPER,,,,Unsold
374,Kumar Kushagra,2000000,WICKETKEEPER,,,,Unsold
375,Anmol Malhotra,2000000,WICKETKEEPER,,,,Unsold
376,Robin Minz,2000000,WICKETKEEPER,,,,Unsold
377,Agniv Pan,2000000,WICKETKEEPER,,,,Unsold
378,Priyesh Patel,2000000,WICKETKEEPER,,,,Unsold
379,Mitesh Patel,2000000,WICKETKEEPER,,,,Unsold
380,Abishek Porel,2000000,WICKETKEEPER,,,,Unsold
381,Bharat Sharma,2000000,WICKETKEEPER,,,,Unsold
382,Vivek Singh,2000000,WICKETKEEPER,,,,Unsold
383,Abhijeet Tomar,2000000,WICKETKEEPER,,,KKR,Unsold
384,Basit Bashir,2000000,BOWLER,,,,Unsold
385,Nandre Burger,2000000,BOWLER,,,,Unsold
386,Rasikh Dar,2000000,BOWLER,,,KKR,Unsold
387,Sakib Hussain,2000000,BOWLER,,,,Unsold
388,Waseem Khanday,2000000,BOWLER,,,,Unsold
389,Ravi Kiran Majeti,2000000,BOWLER,,,,Unsold
390,Lukman Hussain Meriwala,2000000,BOWLER,,,,Unsold
391,Anuj Raj,2000000,BOWLER,,,,Unsold
392,Ankit Singh Rajpoot,2000000,BOWLER,,,LSG,Unsold
393,Prince Yadav,2000000,BOWLER,,,,Unsold
394,Prithviraj Yarra,2000000,BOWLER,,,,Unsold
395,Mushtaq Beg,2000000,BOWLER,,,,Unsold
396,Rocky Bhasker,2000000,BOWLER,,,,Unsold
397,Sanjith Devaraj,2000000,BOWLER,,,,Unsold
398,Allah Mohammad,2000000,BOWLER,,,,Unsold
399,Lalit Mohan,2000000,BOWLER,,,,Unsold
400,Bhuwan Rohilla,2000000,BOWLER,,,,Unsold
401,Aman Sharma,2000000,BOWLER,,,,Unsold
402,Manav Suthar,2000000,BOWLER,,,,Unsold
403,Tom Curran,7500000,ALL-ROUNDER,,,,Unsold
404,Moises Henriques,10000000,ALL-ROUNDER,,,,Unsold
405,Afif Hossain,5000000,ALL-ROUNDER,,,,Unsold
406,Scott Kuggeleijn,5000000,ALL-ROUNDER,,,,Unsold
407,Sisanda Magala,5000000,ALL-ROUNDER,,,,Unsold
408,Craig Overton,20000000,ALL-ROUNDER,,,,Unsold
409,Darcy Short,7500000,ALL-ROUNDER,,,,Unsold
410,Dhananjaya Silva,5000000,ALL-ROUNDER,,,,Unsold
411,Dunith Wellalage,5000000,ALL-ROUNDER,,,,Unsold
412,Varun Aaron,5000000,BOWLER,,,GT,Unsold
413,Sheldon Cottrel,5000000,BOWLER,,,,Unsold
414,Nathan Coulter-Nile,1500000,BOWLER,,,RR,Unsold
415,Daryn Dupavillon,5000000,BOWLER,,,,Unsold
416,Matt Henry,10000000,BOWLER,,,,Unsold
417,Dhawal Kulkarni,5000000,BOWLER,,,,Unsold
418,Tymal Mills,20000000,BOWLER,,,MI,Unsold
419,David Payne,7500000,BOWLER,,,,Unsold
420,Barinder Sran,5000000,BOWLER,,,,Unsold
421,Glenton Stuurman,5000000,BOWLER,,,,Unsold
422,Anirudh Balachander,2000000,BATSMAN,,,,Unsold
423,Gourav Choudhary,2000000,BATSMAN,,,,Unsold
424,Saurav Chuahan,2000000,BATSMAN,,,,Unsold
425,Kumar Deobrat,2000000,BATSMAN,,,,Unsold
426,Chirag Gandhi,2000000,BATSMAN,,,,Unsold
427,Arman Jaffer,2000000,BATSMAN,,,,Unsold
428,Madhav Kaushik,2000000,BATSMAN,,,,Unsold
429,Priyank Panchal,2000000,BATSMAN,,,,Unsold
430,Ayush Pandey,2000000,BATSMAN,,,,Unsold
431,Rohan Patil,2000000,BATSMAN,,,,Unsold
432,Sanjay Ramaswamy,2000000,BATSMAN,,,,Unsold
433,Siddharth Yadav,2000000,BATSMAN,,,,Unsold
434,Rehan Ahmed,4000000,ALL-ROUNDER,,,,Unsold
435,Prayas Barman,2000000,ALL-ROUNDER,,,,Unsold
436,Rahul Buddhi,2000000,ALL-ROUNDER,,,MI,Unsold
437,Vaisakh Chandran,2000000,ALL-ROUNDER,,,,Unsold
438,Writtick Chatterjee,2000000,ALL-ROUNDER,,,PBKS,Unsold
439,Prashant Chopra,2000000,ALL-ROUNDER,,,,Unsold
440,Harsh Dubey,2000000,ALL-ROUNDER,,,,Unsold
441,Tanush Kotian,2000000,ALL-ROUNDER,,,,Unsold
442,Ninad Rathva,2000000,ALL-ROUNDER,,,,Unsold
443,B. Surya,2000000,ALL-ROUNDER,,,,Unsold
444,Jordan Thompson,4000000,ALL-ROUNDER,,,,Unsold
445,Shivank Vashisth,2000000,ALL-ROUNDER,,,,Unsold
446,Ankush Bains,2000000,WICKETKEEPER,,,,Unsold
447,Christopher Benjamin,2000000,WICKETKEEPER,,,,Unsold
448,Connor Esterhuizen,2000000,WICKETKEEPER,,,,Unsold
449,Mohd Arslan Khan,2000000,WICKETKEEPER,,,,Unsold
450,Mamidi Krishna,2000000,WICKETKEEPER,,,,Unsold
451,Fazil Makaya,2000000,WICKETKEEPER,,,,Unsold
452,Akshdeep Nath,2000000,WICKETKEEPER,,,,Unsold
453,Deepak Punia,2000000,WICKETKEEPER,,,,Unsold
454,Ateev Saini,2000000,WICKETKEEPER,,,,Unsold
455,Bipin Saurabh,2000000,WICKETKEEPER,,,,Unsold
456,B.R. Sharath,2000000,WICKETKEEPER,,,,Unsold
457,Yashovardhan Singh,2000000,WICKETKEEPER,,,,Unsold
458,Lakshay Thareja,2000000,WICKETKEEPER,,,,Unsold
459,Mohit Avasthi,2000000,BOWLER,,,,Unsold
460,Ottneil Baartman,2000000,BOWLER,,,,Unsold
461,Gurnoor Singh Brar,2000000,BOWLER,,,,Unsold
462,Shahrukh Dar,2000000,BOWLER,,,,Unsold
463,Thomas Helm,4000000,BOWLER,,,,Unsold
464,Pankaj Jaswal,2000000,BOWLER,,,,Unsold
465,Venkatesh Muralidhara,2000000,BOWLER,,,,Unsold
466,Geet Puri,2000000,BOWLER,,,,Unsold
467,E. Sanketh,2000000,BOWLER,,,,Unsold
468,Ajay Sarkar,2000000,BOWLER,,,,Unsold
469,Ashok Sharma,2000000,BOWLER,,,,Unsold
470,Kanwar Singh,2000000,BOWLER,,,,Unsold
471,Fabian Allen,5000000,ALL-ROUNDER,,,MI,Unsold
472,Carlos Brathwaite,7500000,ALL-ROUNDER,,,,Unsold
473,Roston Chase,10000000,ALL-ROUNDER,,,,Unsold
474,Rahkeem Cornwall,10000000,ALL-ROUNDER,,,,Unsold
475,Karim Janat,5000000,ALL-ROUNDER,,,,Unsold
476,Keshav Maharaj,5000000,ALL-ROUNDER,,,,Unsold
477,Pawan Negi,5000000,ALL-ROUNDER,,,,Unsold
478,Keemo Paul,5000000,ALL-ROUNDER,,,,Unsold
479,Shivam Chaudhary,2000000,ALL-ROUNDER,,,,Unsold
480,Ashwin Das,2000000,ALL-ROUNDER,,,,Unsold
481,James Fuller,4000000,ALL-ROUNDER,,,,Unsold
482,Chirag Jani,2000000,ALL-ROUNDER,,,,Unsold
483,Akshay Karnewar,2000000,ALL-ROUNDER,,,,Unsold
484,Bhagmender Lather,2000000,ALL-ROUNDER,,,,Unsold
485,Lone Muzaffar,2000000,ALL-ROUNDER,,,,Unsold
486,Pulkit Narang,2000000,ALL-ROUNDER,,,,Unsold
487,Rohit Rayudu,2000000,ALL-ROUNDER,,,,Unsold
488,Sameer Rizvi,2000000,ALL-ROUNDER,,,,Unsold
489,Tunish Sawkar,2000000,ALL-ROUNDER,,,,Unsold
490,Auqib Dar,2000000,BOWLER,,,,Unsold
491,Mukhtar Hussain,2000000,BOWLER,,,,Unsold
492,Ashwani Kumar,2000000,BOWLER,,,,Unsold
493,Hemant Kumar,2000000,BOWLER,,,,Unsold
494,Nathan McAndrew,2000000,BOWLER,,,,Unsold
495,Rajesh Mohanty,2000000,BOWLER,,,,Unsold
496,Ravi Sharma,2000000,BOWLER,,,,Unsold
497,Vikash Singh,2000000,BOWLER,,,,Unsold
498,Ruben Trumpelmann,2000000,BOWLER,,,,Unsold
499,Koushik Vasuki,2000000,BOWLER,,,,Unsold
500,Vasu Vats,2000000,BOWLER,,,,Unsold
501,Shubham Agrawal,2000000,ALL-ROUNDER,,,,Unsold
502,Baba Aparajith,2000000,ALL-ROUNDER,,,,Unsold
503,Anshul Kamboj,2000000,ALL-ROUNDER,,,,Unsold
504,Azim Kazi,2000000,ALL-ROUNDER,,,,Unsold
505,Dev Lakra,2000000,ALL-ROUNDER,,,,Unsold
506,Jitender Pal,2000000,ALL-ROUNDER,,,,Unsold
507,Ritwik Roy Chowdhury,2000000,ALL-ROUNDER,,,,Unsold
508,Utkarsh Singh,2000000,ALL-ROUNDER,,,,Unsold
509,Shubham Singh,2000000,ALL-ROUNDER,,,,Unsold
510,Avneesh Sudha,2000000,ALL-ROUNDER,,,,Unsold
511,Asad Jamil Ahmed,2000000,BOWLER,,,,Unsold
512,Bandaru Ayyappa,2000000,BOWLER,,,,Unsold
513,Aashish Bhatt,2000000,BOWLER,,,,Unsold
514,McKenny Clarke,2000000,BOWLER,,,,Unsold
515,Shubham Kapse,2000000,BOWLER,,,,Unsold
516,Gourav Koul,2000000,BOWLER,,,,Unsold
517,Raunak Kumar,2000000,BOWLER,,,,Unsold
518,Trilok Nag,2000000,BOWLER,,,,Unsold
519,Atal Bihari Rai,2000000,BOWLER,,,,Unsold
520,Ramon Simmonds,2000000,BOWLER,,,,Unsold
521,Rajeev Singh,2000000,BOWLER,,,,Unsold
522,Mohd. Wasim,2000000,BOWLER,,,,Unsold
523,Atharva Ankolekar,2000000,ALL-ROUNDER,,,,Unsold
524,Khizar Dafedar,2000000,ALL-ROUNDER,,,,Unsold
525,Naman Dhir,2000000,ALL-ROUNDER,,,,Unsold
526,Sahil Dhiwan,2000000,ALL-ROUNDER,,,,Unsold
527,Sampark Gupta,2000000,ALL-ROUNDER,,,,Unsold
528,Jordan Hermann,2000000,ALL-ROUNDER,,,,Unsold
529,Hayden Kerr,2000000,ALL-ROUNDER,,,,Unsold
530,Salman Khan,2000000,ALL-ROUNDER,,,,Unsold
531,Sairaj Patil,2000000,ALL-ROUNDER,,,,Unsold
532,Divyaansh Saxena,2000000,ALL-ROUNDER,,,,Unsold
533,Purnank Tyagi,2000000,ALL-ROUNDER,,,,Unsold
534,Prince Yadav,2000000,ALL-ROUNDER,,,,Unsold
535,Deepraj Gaonkar,2000000,ALL-ROUNDER,,,,Unsold
536,Shubham Garhwal,2000000,ALL-ROUNDER,,,RR,Unsold
537,Benny Howell,4000000,ALL-ROUNDER,,,PBKS,Unsold
538,Deepesh Nailwal,2000000,ALL-ROUNDER,,,,Unsold
539,Arjun Rapria,2000000,ALL-ROUNDER,,,,Unsold
540,Shashwat Rawat,2000000,ALL-ROUNDER,,,,Unsold
541,Sumit Ruikar,2000000,ALL-ROUNDER,,,,Unsold
542,Shivam Sharma,2000000,ALL-ROUNDER,,,,Unsold
543,Rajandeep Singh,2000000,ALL-ROUNDER,,,,Unsold
544,Anunay Singh,2000000,ALL-ROUNDER,,,,Unsold
545,Digvesh Singh,2000000,ALL-ROUNDER,,,,Unsold
546,Pranshu Vijayran,2000000,ALL-ROUNDER,,,,Unsold
547,Prerit Dutta,2000000,ALL-ROUNDER,,,,Unsold
548,Ramakrishna Ghosh,2000000,ALL-ROUNDER,,,,Unsold
549,Shubhang Hegde,2000000,ALL-ROUNDER,,,,Unsold
550,Shamshuzama Kazi,2000000,ALL-ROUNDER,,,,Unsold
551,Ayaz Khan,2000000,ALL-ROUNDER,,,,Unsold
552,Amit Pachhara,2000000,ALL-ROUNDER,,,,Unsold
553,Akul Pandove,2000000,ALL-ROUNDER,,,,Unsold
554,Garv Sangwan,2000000,ALL-ROUNDER,,,,Unsold
555,Shubham Sharma,2000000,ALL-ROUNDER,,,,Unsold
556,Amit Yadav,2000000,ALL-ROUNDER,,,,Unsold
557,Amit Ali,2000000,ALL-ROUNDER,,,,Unsold
558,Rishabh Chauhan,2000000,ALL-ROUNDER,,,,Unsold
559,Matthew Forde,2000000,ALL-ROUNDER,,,,Unsold
560,Sammar Gajjar,2000000,ALL-ROUNDER,,,,Unsold
561,Rajneesh Gurbani,2000000,ALL-ROUNDER,,,,Unsold
562,Divyansh Joshi,2000000,ALL-ROUNDER,,,,Unsold
563,Dhruv Patel,2000000,ALL-ROUNDER,,,,Unsold
564,Jack Prestwidge,2000000,ALL-ROUNDER,,,,Unsold
565,Aditya Sarvate,2000000,ALL-ROUNDER,,,,Unsold
566,Sagar Solanki,2000000,ALL-ROUNDER,,,,Unsold
567,Prenelan Subrayen,2000000,ALL-ROUNDER,,,,Unsold
